//Room 305 
Throwdown C-HDMI IN 2,17,06,,( 36 ),,,,,,,,,,,528,,,,,,
Throwdown D-HDMI IN 1,17,07,,( 36 ),,,,,,,,,,,530,,,,,,
Throwdown D-HDMI IN 2,17,08,,( 36 ),,,,,,,,,,,531,,,,,,

Watchout Server Out 4-Scaled,17,09,,( 39 ),,,,,,,,,,,335,,,,,,

(TeleViz) PC,17,11,,(23),,,,,,,,,,,561,029851,,,,,
(TeleViz) Laptop,17,12,,(23),,,,,,,,,,,562,029844,,,,,
(TeleViz) Wireless,17,13,,(23),,,,,,,,,,,50,,,,,,
(TeleViz) HDMI Plate North,17,14,,(23),,,,,,,,,,,566,,,,,,
(TeleViz) HDMI Plate South,17,15,,(23),,,,,,,,,,,569,,,,,,


Cam North,17,21,,( 37 ),,,,,10.156.26.224,,1,,,,534,,,,,,
Cam South,17,22,,( 37 ),,,,,10.156.26.225,,1,,,,536,,,,,,
Cam SouthEast,17,23,,( 37 ),,,,,10.156.26.226,,1,,,,538,,,,,,
Cam Northeast,17,24,,( 37 ),,,,,10.156.26.227,,1,,,,540,,,,,,

//local_name=(TeleViz) Presenter Cam, room_ass=17, local_id=25, filter=(23), is_camera=1, ip_address=10.156.26.186, cmd_io=568,
//local_name=(TeleViz) Audience Cam, room_ass=17, local_id=26, filter=(23), is_camera=1, ip_address=10.156.26.185, cmd_io=565,
(TeleViz) Presenter Cam,17,25,,(23),,,,,,,,,,,568,,,,,,
(TeleViz) Audience Cam,17,26,,(23),,,,,,,,,,,565,,,,,,

SIM-PC Station 7,17,31,,( 38 ),,,,,,,,,,,481,,,,,,
SIM-PC Station 1,17,32,,( 38 ),,,,,,,,,,,485,,,,,,
SIM-PC Station 2,17,33,,( 38 ),,,,,,,,,,,488,,,,,,
SIM-PC Station 3,17,34,,( 38 ),,,,,,,,,,,490,,,,,,
SIM-PC Station 4,17,35,,( 38 ),,,,,,,,,,,492,,,,,,
SIM-PC Station 5,17,36,,( 38 ),,,,,,,,,,,494,,,,,,
SIM-PC Station 6,17,37,,( 38 ),,,,,,,,,,,496,,,,,,

CAE-PC Station 7,17,38,,( 38 ),,,,,,,,,,,482,,,,,,
CAE-PC Station 1,17,39,,( 38 ),,,,,,,,,,,486,,,,,,
CAE-PC Station 2,17,40,,( 38 ),,,,,,,,,,,489,,,,,,
CAE-PC Station 3,17,41,,( 38 ),,,,,,,,,,,491,,,,,,
CAE-PC Station 4,17,42,,( 38 ),,,,,,,,,,,493,,,,,,
CAE-PC Station 5,17,43,,( 38 ),,,,,,,,,,,495,,,,,,
CAE-PC Station 6,17,44,,( 38 ),,,,,,,,,,,497,,,,,,




//Room 855
PC,18,2,,(24),,,,,,,,,,,581,,,,,,
Laptop,18,1,,(24),,,,,,,,,,,582,,,,,,
Wireless,18,3,,(24),,,,,,,,,,,51,,,,,,



//Room 880
PC,19,2,,(25),,,,,,,,,,,601,0289c3,,,,,
Laptop,19,1,,(25),,,,,,,,,,,602,0289ba,,,,,
Wireless,19,3,,(25),,,,,,,,,,,52,,,,,,

Audience Camera,19,22,,(25),,,,,10.156.26.243,,1,,,,605,,,,,,
Presenter Camera,19,21,,(25),,,,,10.156.26.244,,1,,,,607,,,,,,



//513 BioComm
NC1 5A-3 Expander Monitor Output,,,,( 34 ),,,,,,,,,,,261,,,,,,
NC1 5A-4 Expander Monitor Output,,,,( 35 ),,,,,,,,,,,262,,,,,,

Video Conf Camera,,,,(50),,,,,,,,1,,,290,,,,,1,
Video Conf Camera,,,,(51),,,,,,,,2,,,292,,,,,1,
Video Conf Camera,,,,(52),,,,,,,,3,,,294,,,,,1,

Video Conf Content,,,,(50),,,,,,,,1,,,291,,,,,2,
Video Conf Content,,,,(51),,,,,,,,2,,,293,,,,,2,
Video Conf Content,,,,(52),,,,,,,,3,,,295,,,,,2,

AJA KIPRO REC 5A-1 Out,,,,(1),,,,,,,,,,,217,,,,,,
AJA KIPRO REC 5A-2 Out,,,,(1),,,,,,,,,,,219,,,,,,
AJA KIPRO REC 5A-3 Out,,,,(1),,,,,,,,,,,221,,,,,,
DVS-605-IP 5A-10 SDI IN,,,,(2),,,,,,,,,,,232,,,,,,
DVS-605-IP 5A-21 SDI IN,,,,(2),,,,,,,,,,,233,,,,,,
HDMI Aux Plate 5A-10,,,,(2),,,,,,,,,,,298,,,,,,
HDMI Aux Plate 5A-21,,,,(2),,,,,,,,,,,299,,,,,,
L3AV Service PC,,,,(4),,,,,,,,,,,331,,,,,,
BlackMagic Audio Mon SDI Loop Out,,,,(5),,,,,,,,,,,235,,,,,,
TriCaster 5A-1 SDI Out 1,,,,(6),,,,,,,,,,,223,,,,,,
TriCaster 5A-1 SDI Out 2,,,,(6),,,,,,,,,,,224,,,,,,
TriCaster 5A-1 SDI Out 3,,,,(6),,,,,,,,,,,225,,,,,,
TriCaster 5A-1 SDI Out 4,,,,(6),,,,,,,,,,,226,,,,,,
